timestamp,method,runtime_s,system
2022-04-29 00:00:00,CVaR-DFL-RTRO,0.08102209999999999,69
2022-04-29 03:00:00,CVaR-DFL-RTRO,0.08186690000000008,69
2022-04-29 06:00:00,CVaR-DFL-RTRO,0.12140470000000003,69
2022-04-29 07:00:00,CVaR-DFL-RTRO,0.06519510000000017,69
2022-04-29 10:00:00,CVaR-DFL-RTRO,0.06255319999999998,69
2022-04-29 13:00:00,CVaR-DFL-RTRO,0.0535623999999999,69
2022-04-29 16:00:00,CVaR-DFL-RTRO,0.0461765999999999,69
2022-04-29 17:30:00,CVaR-DFL-RTRO,0.05160050000000016,69
2022-04-29 19:00:00,CVaR-DFL-RTRO,0.10182340000000001,69
2022-04-29 20:15:00,CVaR-DFL-RTRO,0.053412900000000096,69
2022-04-29 23:00:00,CVaR-DFL-RTRO,0.04127710000000029,69
