timestamp,load,is_weekday,temp_max_num,temp_min_num,Weather,Season,Oil price,Quarterly gdp,split
2022/4/15 17:15,4485.9,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 17:30,5443.3,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 17:45,6187.9,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 18:00,6008.4,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 18:15,5461.2,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 18:30,4497.3,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 18:45,3126.5,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 19:00,1508.4,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 19:15,1317.4,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 19:30,1043.3,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 19:45,1131.4,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 20:00,771.9,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 20:15,657.5,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 20:30,686.3,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 20:45,823.2,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 21:00,710.3,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 21:15,913.2,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 21:30,845.7,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 21:45,680.3,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 22:00,517.8,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 22:15,478.4,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 22:30,726.6,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 22:45,769.5,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 23:00,857.3,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 23:15,894.4,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 23:30,778.7,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/15 23:45,895.6,0,25,21,overcast,spring,9.01,7952.3,history
2022/4/16 0:00,699.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 0:15,906.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 0:30,917.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 0:45,1099,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 1:00,910.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 1:15,950.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 1:30,939.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 1:45,1074.4,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 2:00,1100.6,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 2:15,1205.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 2:30,1282.6,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 2:45,1390.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 3:00,1546.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 3:15,1638.9,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 3:30,1843.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 3:45,1964.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 4:00,1954.6,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 4:15,2124.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 4:30,2307.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 4:45,2484.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 5:00,2924.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 5:15,3730.4,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 5:30,4696.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 5:45,5000.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 6:00,5045.6,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 6:15,5029.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 6:30,4443,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 6:45,3908.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 7:00,3081,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 7:15,1893.9,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 7:30,1404.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 7:45,1104,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 8:00,726.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 8:15,431.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 8:30,307.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 8:45,233,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 9:00,205.6,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 9:15,328,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 9:30,213.4,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 9:45,227.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 10:00,131.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 10:15,183.9,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 10:30,89.8,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 10:45,166.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 11:00,284.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 11:15,574.9,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 11:30,1218,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 11:45,2814.9,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 12:00,3387.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 12:15,3398,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 12:30,3826.6,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 12:45,3438,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 13:00,3414.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 13:15,3231.6,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 13:30,2667.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 13:45,2112.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 14:00,1440.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 14:15,988.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 14:30,894.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 14:45,842.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 15:00,1095.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 15:15,1306.4,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 15:30,1664.8,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 15:45,1895.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 16:00,2100,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 16:15,2245.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 16:30,2280.7,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 16:45,2950.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 17:00,4139.5,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 17:15,4923.2,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 17:30,5383.3,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 17:45,5872.4,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 18:00,5742.1,0,28,22,overcast,spring,9.01,7952.3,history
2022/4/16 18:15,5431.9,0,28,22,overcast,spring,9.01,7952.3,history
