timestamp,split,load,is_weekday,temp_max_num,temp_min_num,Weather,Season,Oil price,Quarterly gdp
2022/10/13 16:30,history,2937.8,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 16:45,history,3963.5,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 17:00,history,4197.6,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 17:15,history,4810.5,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 17:30,history,5200.1,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 17:45,history,5360.4,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 18:00,history,5113.5,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 18:15,history,4716.8,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 18:30,history,3174.6,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 18:45,history,2276,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 19:00,history,2030,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 19:15,history,1044.6,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 19:30,history,699,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 19:45,history,647.9,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 20:00,history,682.7,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 20:15,history,706.8,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 20:30,history,631.2,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 20:45,history,953.1,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 21:00,history,594,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 21:15,history,1046.9,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 21:30,history,947.2,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 21:45,history,1156.4,1,28,23,cloudy,autumn,8.89,9462.59
2022/10/13 22:00,history,1132.1,1,28,23,cloudy,autumn,8.89,9462.59
