timestamp,t,P_buy,P_sell,P_ch,P_dis,SOC_kWh,P_dg,P_pv,P_wt,shed,trigger,q50,q90,q95,load_actual,Pgrid_max_kW,Pess_max_kW,Ecap_kWh,SOC_min_kWh,SOC_max_kWh,SOC0_kWh,SOC_pct
2022-04-29 00:00:00,0,162.4472123503824,0.0,0.0,958.1062188161949,4620.0,0.0,0.0,799.2490542147924,0.0,0,1464.3880004882812,1835.315576171875,2058.5849609375,1255.4,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,56.25
2022-04-29 00:15:00,1,583.3896900653447,0.0,0.0,538.8076110325032,4367.866784522054,0.0,0.0,915.0757621535392,0.0,0,1464.3880004882812,1835.315576171875,2058.5849609375,1606.9,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,52.15692832016322
2022-04-29 00:30:00,2,487.9547889299277,0.0,0.0,608.1836180677154,4226.075307934553,0.0,0.0,881.5747263417331,0.0,0,1484.5264282226562,1890.4808227539063,1972.937860107421,1529.9,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,49.85511863530119
2022-04-29 00:45:00,3,887.0464257905944,0.0,0.0,327.1323115528649,4066.0269873904176,0.0,0.0,879.635219581499,0.0,0,1507.3056640625,1988.55849609375,2142.14248046875,1861.9,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,47.2569316134808
2022-04-29 01:00:00,4,573.1216670646251,0.0,0.0,610.7287175940897,3979.939536981769,0.0,0.0,978.0653845667484,0.0,0,1551.76513671875,2093.184228515625,2266.581298828125,1687.3,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,45.85940806788586
2022-04-29 01:15:00,5,1152.7095050608673,0.0,0.0,337.45931210618284,3819.221453404377,0.0,0.0,667.3886043089038,0.0,0,1612.914306640625,2201.441162109375,2330.225061035156,1997.6,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,43.25034826955157
2022-04-29 01:30:00,6,858.1134338669317,0.0,0.0,574.9409550110063,3730.416371271171,0.0,0.0,731.0348981815989,0.0,0,1637.6956176757812,2334.8453369140625,2528.78466796875,1861.2,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,41.8087073258307
2022-04-29 01:45:00,7,831.6284255891577,0.0,0.0,641.9717320836968,3579.1161199524854,0.0,0.0,654.7270467234363,0.0,0,1669.491943359375,2435.4650634765626,2651.9646240234374,1844.3,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,39.35253441481307
2022-04-29 02:00:00,8,810.6283850437717,0.0,0.0,508.86035069475025,3410.1761904567757,0.0,0.0,788.1472241257167,0.0,0,1740.8602294921875,2561.277197265625,2786.256665039062,1895.3,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,36.61000309183078
2022-04-29 02:15:00,9,611.6835177914417,0.0,0.0,765.5373916512718,3276.265571852894,0.0,0.0,909.8640020848724,0.0,0,1776.279296875,2686.9836669921874,2921.6041870117188,1789.8,5000.0,1100.0,7700.0,1155.0,7315.0,4620.0,34.43612941319633
