timestamp,Psi,epsilon,trigger
2022-04-29 00:15:00,0.31348200074325444,1.0,0
2022-04-29 00:30:00,0.2137679992567458,1.0,0
2022-04-29 00:45:00,0.0680603576551827,1.0,0
2022-04-29 01:00:00,0.5318915038954174,1.0,0
2022-04-29 01:15:00,0.20330229491104396,1.0,0
2022-04-29 01:30:00,0.5770285400282308,1.0,0
2022-04-29 01:45:00,0.335256573475496,1.0,0
2022-04-29 02:00:00,0.26221208495010506,1.0,0
2022-04-29 02:15:00,0.2316596557508865,1.0,0
2022-04-29 02:30:00,0.02028105467666819,1.0,0
2022-04-29 02:45:00,0.3351092651258864,1.0,0
2022-04-29 03:00:00,0.09259271851669156,1.0,1
2022-04-29 03:15:00,0.3296858538906584,1.0,0
2022-04-29 03:30:00,0.9625430386288243,1.0,0
2022-04-29 03:45:00,0.703966872096681,1.0,0
2022-04-29 04:00:00,0.4403199760033552,1.0,0
2022-04-29 04:15:00,0.41073273334258,1.0,0
2022-04-29 04:30:00,0.1858167210018261,1.0,0
2022-04-29 04:45:00,0.2793497908100365,1.0,0
2022-04-29 05:00:00,0.16531005712943017,1.0,0
2022-04-29 05:15:00,0.5932767308886272,1.0,0
2022-04-29 05:30:00,0.04009149387700442,1.0,0
2022-04-29 05:45:00,0.15879420403705657,1.0,0
2022-04-29 06:00:00,0.03282736232258231,1.0,1
2022-04-29 06:15:00,0.19338004024022212,1.0,0
2022-04-29 06:30:00,0.5913730024593944,1.0,0
2022-04-29 06:45:00,0.860709193197255,1.0,0
2022-04-29 07:00:00,1.0563159990081465,1.0,1
2022-04-29 07:15:00,0.1362594643096431,1.0,0
2022-04-29 07:30:00,0.08497357824164814,1.0,0
2022-04-29 07:45:00,0.2300373991423021,1.0,0
2022-04-29 08:00:00,0.11555662091109564,1.0,0
2022-04-29 08:15:00,0.4145980053473833,1.0,0
2022-04-29 08:30:00,0.14844478251717194,1.0,0
2022-04-29 08:45:00,0.17610165272058945,1.0,0
2022-04-29 09:00:00,0.11411648140642228,1.0,0
2022-04-29 09:15:00,0.04360349157462679,1.0,0
2022-04-29 09:30:00,0.040471635095087395,1.0,0
2022-04-29 09:45:00,0.013380919588425967,1.0,0
2022-04-29 10:00:00,0.030276216516473747,1.0,1
2022-04-29 10:15:00,0.31464429792803156,1.0,0
2022-04-29 10:30:00,0.24762761122726412,1.0,0
2022-04-29 10:45:00,0.2314183877036688,1.0,0
2022-04-29 11:00:00,0.0726901573129059,1.0,0
2022-04-29 11:15:00,0.6321222943331888,1.0,0
2022-04-29 11:30:00,0.8965879344713389,1.0,0
2022-04-29 11:45:00,0.5061064539826733,1.0,0
2022-04-29 12:00:00,0.20695771093327808,1.0,0
2022-04-29 12:15:00,0.32063675138902586,1.0,0
2022-04-29 12:30:00,0.14354276893743265,1.0,0
2022-04-29 12:45:00,0.6596332713718682,1.0,0
2022-04-29 13:00:00,0.2533583637244404,1.0,1
2022-04-29 13:15:00,0.24280845759906775,1.0,0
2022-04-29 13:30:00,0.151988218667838,1.0,0
2022-04-29 13:45:00,0.16469787151698256,1.0,0
2022-04-29 14:00:00,0.6232640664989024,1.0,0
2022-04-29 14:15:00,0.17826942272026486,1.0,0
2022-04-29 14:30:00,0.9637170665900037,1.0,0
2022-04-29 14:45:00,0.005241546401911516,1.0,0
2022-04-29 15:00:00,0.43506089940685044,1.0,0
2022-04-29 15:15:00,0.495672255696857,1.0,0
2022-04-29 15:30:00,0.13996811393288186,1.0,0
2022-04-29 15:45:00,0.12999663240820197,1.0,0
2022-04-29 16:00:00,0.32784170761431863,1.0,1
2022-04-29 16:15:00,0.07425502987121946,1.0,0
2022-04-29 16:30:00,0.1960325792182179,1.0,0
2022-04-29 16:45:00,0.1848626514513514,1.0,0
2022-04-29 17:00:00,0.6241271496045426,1.0,0
2022-04-29 17:15:00,0.5687573392456867,1.0,0
2022-04-29 17:30:00,1.298676590528562,1.0,1
2022-04-29 17:45:00,0.1133246010648539,1.0,0
2022-04-29 18:00:00,0.08425844378289489,1.0,0
2022-04-29 18:15:00,0.046285559881947866,1.0,0
2022-04-29 18:30:00,0.17067224574108877,1.0,0
2022-04-29 18:45:00,0.23689832869348418,1.0,0
2022-04-29 19:00:00,1.5848230130067509,1.0,1
2022-04-29 19:15:00,0.7718251538115272,1.0,0
2022-04-29 19:30:00,0.08228147534675241,1.0,0
2022-04-29 19:45:00,0.5381976526927759,1.0,0
2022-04-29 20:00:00,0.9097437146269802,1.0,0
2022-04-29 20:15:00,1.4857721519082245,1.0,1
2022-04-29 20:30:00,1.0680307144752283,1.0,0
2022-04-29 20:45:00,0.1841628773462757,1.0,0
2022-04-29 21:00:00,0.4504565843384838,1.0,0
2022-04-29 21:15:00,0.13429963935709902,1.0,0
2022-04-29 21:30:00,0.332990168968477,1.0,0
2022-04-29 21:45:00,0.25816572566890716,1.0,0
2022-04-29 22:00:00,0.6977929248980095,1.0,0
2022-04-29 22:15:00,0.05759798120171435,1.0,0
2022-04-29 22:30:00,0.17205076130563463,1.0,0
2022-04-29 22:45:00,0.3416176527097996,1.0,0
2022-04-29 23:00:00,1.005880262502316,1.0,1
2022-04-29 23:15:00,971.1627486013086,1.0,0
2022-04-29 23:30:00,94.06864591997831,1.0,0
2022-04-29 23:45:00,2.520069179126872,1.0,0
