timestamp,method,runtime_s,system
2022-04-29 00:00:00,CVaR-DFL-RTRO,0.08172420000000002,69
2022-04-29 03:00:00,CVaR-DFL-RTRO,0.08781110000000014,69
2022-04-29 06:00:00,CVaR-DFL-RTRO,0.1255542999999999,69
2022-04-29 07:00:00,CVaR-DFL-RTRO,0.06965960000000004,69
2022-04-29 10:00:00,CVaR-DFL-RTRO,0.06361480000000008,69
2022-04-29 13:00:00,CVaR-DFL-RTRO,0.06128749999999994,69
2022-04-29 16:00:00,CVaR-DFL-RTRO,0.0529636,69
2022-04-29 17:30:00,CVaR-DFL-RTRO,0.04511030000000016,69
2022-04-29 19:00:00,CVaR-DFL-RTRO,0.10212719999999997,69
2022-04-29 20:15:00,CVaR-DFL-RTRO,0.04882009999999992,69
2022-04-29 23:00:00,CVaR-DFL-RTRO,0.036192500000000294,69
